         94557117 function calls in 55.696 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:521(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\_weakrefset.py:82(add)
        3    0.000    0.000    0.001    0.000 \Asciinpy\_2D\definitors.py:136(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:256(__enter__)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:1338(current_thread)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:1209(_make_invoke_excepthook)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:268(_acquire_restore)
        1    0.000    0.000    0.000    0.000 \Asciinpy\screen.py:231(__init__)
        1    0.000    0.000    0.000    0.000 \Asciinpy\events.py:85(emit)
        1    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\_sitebuiltins.py:19(__call__)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:271(_is_owned)
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:265(_release_save)
        2    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\User\AppData\Local\Programs\Python\Python39\lib\threading.py:1127(daemon)
        1    0.000    0.000   55.696   55.696 \Asciinpy\screen.py:483(run)
        1    0.000    0.000    0.000    0.000 \Asciinpy\utils.py:63(stop)
        3    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
